freq speed_mean Voc_for_mean Jsc_for_mean FF_for_mean PCE_for_mean Voc_rev_mean Jsc_rev_mean FF_rev_mean PCE_rev_mean
0.01 2.336e-2 1.1537754473734325 20.524132333333334 0.769919699761367 19.169260060991693 1.1484396654692828 20.5131575 0.7617016487119016 18.86685068977619
0.05 1.168e-1 1.1501248761413532 20.699727666666664 0.7461663654434398 18.677515938944385 1.151421503694763 20.721677166666662 0.7599383754118827 19.063886062254234
0.1 2.336e-1 1.1516612373876067 20.777648166666662 0.7426187388111094 18.683612855563453 1.156296167294307 20.777648166666662 0.7730037127601772 19.526341129745905
0.5 1.168e0 1.14502231172774 21.042138833333336 0.7108866883936052 18.008520366378864 1.1582262232873088 21.042138833333336 0.7817392014106128 20.031754283604243
1.0 2.336e0 1.1352218709783028 21.0015325 0.699805694812572 17.542158348373874 1.1524060741113593 21.00921466666666 0.7933820763877645 20.196288252145937
5.0 1.168e1 1.1129931280155223 21.380160166666663 0.6662833673834134 16.67002409366839 1.1520278040114569 21.380160166666663 0.8037841035765096 20.815514334526338
10.0 2.336e1 1.1045801757108151 21.559047999999997 0.6460208985581911 16.175108770917593 1.1520651491244773 21.559047999999997 0.8020238559477249 20.944390343139524
50.0 1.168e2 1.0968708927650375 21.628188833333333 0.6903529830554244 17.21950602670592 1.1518374672335674 21.628188833333333 0.805510217383771 21.09872569103844
100.0 2.336e2 1.1021007046800328 21.625993833333332 0.7296248616898878 18.283982511147098 1.1522753847373433 21.625993833333332 0.8074319725455039 21.154955694957273
500.0 1.168e3 1.1288870605912342 21.672087666666666 0.8032700620220579 20.662679688109627 1.1548931761297732 21.672087666666666 0.8105021999100984 21.32900422991652
1000.0 2.336e3 1.1380049546929298 21.971697333333335 0.794280728392766 20.88120728092468 1.155432496232845 21.823538666666668 0.8184006642587105 21.697492240836496
